"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 20 22:24:37 BDT 2021","Mon Sep 20 22:24:42 BDT 2021","4737","Calculator Automation","Calculator automation","TestRunner","TestRunner","doSum","doSum",""
"passed","Mon Sep 20 22:24:42 BDT 2021","Mon Sep 20 22:24:47 BDT 2021","4503","Calculator Automation","Calculator automation","TestRunner","TestRunner","doMultiplication","doMultiplication",""
"passed","Mon Sep 20 22:24:47 BDT 2021","Mon Sep 20 22:24:51 BDT 2021","4796","Calculator Automation","Calculator automation","TestRunner","TestRunner","doDivision","doDivision",""
"passed","Mon Sep 20 22:24:34 BDT 2021","Mon Sep 20 22:24:37 BDT 2021","3662","Calculator Automation","Calculator automation","TestRunner","TestRunner","doSubtraction","doSubtraction",""
